File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,human_buggy
src/68_recursion/m_hidecudarec.F90,1cd4e40,5.0,5.0,1.0,33.0,8.0,18.0,7.0,1.0,1.0,1.0,1.0,456.0,74.0,166.0,18.0,10.0,226.0,24.0,14.0,10.0,5.0,5.0,1.0,2.0,1.36,5.0,5.0,1.0,0.0
src/28_numeric_noabirule/intrpl.F90,1cd4e40,27.0,27.0,20.0,214.0,9.0,150.0,55.0,1.0,0.0,1.0,1.0,250.0,13.0,152.0,13.0,138.0,87.0,170.0,18.0,152.0,27.0,27.0,20.0,2.0,0.57,27.0,27.0,20.0,0.0
src/77_ddb/get_all_gkr.F90,1cd4e40,1.0,1.0,0.0,48.0,7.0,21.0,19.0,2.0,0.0,1.0,1.0,143.0,19.0,44.0,16.0,27.0,82.0,33.0,13.0,20.0,3.0,3.0,1.0,2.0,1.86,3.0,3.0,1.0,0.0
src/56_recipspace/ph1d3d.F90,1cd4e40,5.0,5.0,1.0,88.0,12.0,49.0,27.0,1.0,0.0,1.0,1.0,136.0,15.0,51.0,19.0,31.0,72.0,42.0,15.0,27.0,5.0,5.0,1.0,2.0,1.41,5.0,5.0,1.0,0.0
src/41_geometry/getptgroupma.F90,1cd4e40,73.0,46.0,1.0,123.0,9.0,97.0,17.0,1.0,0.0,1.0,1.0,171.0,13.0,99.0,8.0,90.0,61.0,141.0,7.0,134.0,73.0,46.0,1.0,2.0,0.62,73.0,46.0,1.0,0.0
src/18_timing/time_accu.F90,1cd4e40,2.0,2.0,1.0,48.0,11.0,22.0,15.0,1.0,0.0,1.0,1.0,90.0,15.0,24.0,14.0,9.0,53.0,21.0,12.0,9.0,2.0,2.0,1.0,1.0,2.21,2.0,2.0,1.0,0.0
src/51_manage_mpi/m_io_redirect.F90,1cd4e40,11.0,11.0,1.0,57.0,10.0,36.0,10.0,4.0,1.0,1.0,4.0,379.0,57.0,166.0,59.0,106.0,164.0,163.0,48.0,115.0,21.0,21.0,1.0,7.0,0.99,46.0,46.0,4.0,0.0
src/66_wfs/fock_ACE_getghc.F90,1cd4e40,37.0,37.0,0.0,220.0,19.0,175.0,35.0,4.0,0.0,2.0,2.0,1028.0,88.0,707.0,152.0,553.0,277.0,623.0,75.0,548.0,112.0,112.0,1.0,8.0,0.39,150.0,150.0,2.0,0.0
src/66_wfs/fock_getghc.F90,1cd4e40,37.0,37.0,0.0,220.0,19.0,175.0,35.0,4.0,0.0,2.0,2.0,1028.0,88.0,707.0,152.0,553.0,277.0,623.0,75.0,548.0,112.0,112.0,1.0,8.0,0.39,150.0,150.0,2.0,0.0
src/66_wfs/getghc.F90,1cd4e40,37.0,37.0,0.0,220.0,19.0,175.0,35.0,4.0,0.0,2.0,2.0,1028.0,88.0,707.0,152.0,553.0,277.0,623.0,75.0,548.0,112.0,112.0,1.0,8.0,0.39,150.0,150.0,2.0,0.0
src/66_wfs/multithreaded_getghc.F90,1cd4e40,37.0,37.0,0.0,220.0,19.0,175.0,35.0,4.0,0.0,2.0,2.0,1028.0,88.0,707.0,152.0,553.0,277.0,623.0,75.0,548.0,112.0,112.0,1.0,8.0,0.39,150.0,150.0,2.0,0.0
src/66_wfs/prep_getghc.F90,1cd4e40,37.0,37.0,0.0,220.0,19.0,175.0,35.0,4.0,0.0,2.0,2.0,1028.0,88.0,707.0,152.0,553.0,277.0,623.0,75.0,548.0,112.0,112.0,1.0,8.0,0.39,150.0,150.0,2.0,0.0
src/32_util/hermit.F90,1cd4e40,7.0,7.0,1.0,90.0,21.0,51.0,18.0,1.0,0.0,1.0,1.0,140.0,25.0,53.0,17.0,35.0,64.0,46.0,15.0,31.0,7.0,7.0,1.0,2.0,1.21,7.0,7.0,1.0,0.0
src/72_response/dfpt_rhotov.F90,1cd4e40,19.0,19.0,0.0,150.0,18.0,105.0,32.0,2.0,0.0,1.0,1.0,389.0,40.0,212.0,57.0,154.0,148.0,189.0,38.0,151.0,38.0,38.0,1.0,4.0,0.7,38.0,38.0,1.0,0.0
src/57_iovars/m_ab7_invars_f90.F90,1cd4e40,7.0,7.0,1.0,55.0,11.0,35.0,9.0,11.0,1.0,1.0,11.0,988.0,176.0,441.0,160.0,280.0,378.0,429.0,134.0,295.0,42.0,42.0,3.0,3.0,0.86,82.0,82.0,13.0,0.0
src/63_bader/aim_follow.F90,1cd4e40,26.0,26.0,12.0,168.0,24.0,133.0,13.0,2.0,0.0,1.0,1.0,387.0,53.0,269.0,28.0,240.0,73.0,268.0,24.0,244.0,52.0,52.0,24.0,6.0,0.27,52.0,52.0,24.0,0.0
src/68_recursion/m_rec.F90,1cd4e40,6.0,6.0,1.0,83.0,13.0,49.0,22.0,8.0,1.0,1.0,8.0,967.0,132.0,418.0,147.0,237.0,439.0,322.0,103.0,219.0,12.0,12.0,4.0,4.0,1.05,52.0,52.0,11.0,0.0
src/49_gw_toolbox_oop/m_melemts.F90,1cd4e40,9.0,8.0,2.0,67.0,13.0,42.0,13.0,9.0,1.0,1.0,9.0,1109.0,191.0,441.0,184.0,257.0,505.0,407.0,134.0,273.0,20.0,20.0,5.0,9.0,1.15,86.0,79.0,22.0,0.0
src/65_paw/initrhoij.F90,1cd4e40,30.0,30.0,1.0,178.0,26.0,129.0,27.0,1.0,0.0,1.0,1.0,237.0,30.0,131.0,31.0,99.0,82.0,137.0,24.0,113.0,30.0,30.0,1.0,7.0,0.63,30.0,30.0,1.0,0.0
src/62_poisson/psolver_hartree.F90,1cd4e40,1.0,1.0,0.0,53.0,9.0,27.0,16.0,2.0,0.0,1.0,1.0,160.0,23.0,57.0,17.0,2.0,82.0,16.0,14.0,2.0,2.0,2.0,1.0,1.0,1.44,2.0,2.0,1.0,0.0
src/57_iovars/chkvars.F90,1cd4e40,6.0,6.0,3.0,119.0,12.0,81.0,26.0,3.0,0.0,2.0,2.0,421.0,41.0,246.0,25.0,220.0,137.0,240.0,22.0,218.0,17.0,17.0,9.0,5.0,0.56,18.0,18.0,10.0,0.0
src/27_toolbox_oop/m_nctk.F90,1cd4e40,3.0,2.0,1.0,38.0,8.0,19.0,10.0,6.0,1.0,1.0,6.0,2902.0,541.0,990.0,85.0,47.0,1412.0,135.0,83.0,52.0,7.0,6.0,1.0,3.0,1.43,21.0,16.0,6.0,0.0
src/67_common/prtxvf.F90,1cd4e40,15.0,15.0,1.0,105.0,16.0,75.0,14.0,1.0,0.0,1.0,1.0,152.0,21.0,77.0,16.0,60.0,56.0,75.0,15.0,60.0,15.0,15.0,1.0,4.0,0.73,15.0,15.0,1.0,0.0
src/71_bse/m_hexc.F90,1cd4e40,13.0,13.0,1.0,125.0,27.0,78.0,25.0,11.0,1.0,1.0,11.0,1928.0,387.0,939.0,329.0,597.0,678.0,804.0,235.0,569.0,51.0,49.0,5.0,12.0,0.72,148.0,146.0,18.0,0.0
src/42_nlstrain/contstr25.F90,1cd4e40,12.0,12.0,1.0,1949.0,14.0,1914.0,21.0,1.0,0.0,1.0,1.0,2003.0,17.0,1916.0,17.0,1898.0,72.0,408.0,14.0,394.0,12.0,12.0,1.0,2.0,0.04,12.0,12.0,1.0,0.0
src/70_gw/cchi0.F90,1cd4e40,59.0,57.0,14.0,406.0,56.0,286.0,77.0,2.0,0.0,1.0,1.0,912.0,116.0,574.0,182.0,391.0,250.0,485.0,91.0,394.0,118.0,114.0,28.0,13.0,0.44,118.0,114.0,28.0,0.0
src/66_nonlocal/cont35.F90,1cd4e40,1.0,1.0,1.0,105.0,15.0,73.0,17.0,1.0,0.0,1.0,1.0,162.0,19.0,75.0,8.0,66.0,70.0,13.0,7.0,6.0,1.0,1.0,1.0,0.0,0.93,1.0,1.0,1.0,0.0
src/66_nonlocal/nonlop_pl.F90,1cd4e40,64.0,64.0,3.0,558.0,48.0,371.0,145.0,2.0,0.0,1.0,1.0,1259.0,100.0,745.0,129.0,615.0,431.0,543.0,56.0,487.0,128.0,128.0,7.0,15.0,0.58,128.0,128.0,7.0,0.0
src/67_common/forces.F90,1cd4e40,28.0,28.0,0.0,218.0,20.0,142.0,57.0,2.0,0.0,1.0,1.0,556.0,43.0,286.0,110.0,172.0,232.0,244.0,60.0,184.0,57.0,57.0,1.0,4.0,0.81,57.0,57.0,1.0,0.0
src/57_iovars/append_xyz.F90,1cd4e40,10.0,10.0,1.0,149.0,25.0,101.0,24.0,1.0,0.0,1.0,1.0,193.0,29.0,103.0,36.0,66.0,64.0,90.0,28.0,62.0,10.0,10.0,1.0,2.0,0.62,10.0,10.0,1.0,0.0
src/61_occeig/m_ebands.F90,1cd4e40,7.0,7.0,2.0,75.0,13.0,46.0,17.0,50.0,1.0,1.0,50.0,5448.0,892.0,2408.0,833.0,1480.0,2297.0,2124.0,608.0,1516.0,26.0,26.0,14.0,6.0,0.95,389.0,374.0,129.0,0.0
src/41_geometry/prtspgroup.F90,1cd4e40,45.0,45.0,0.0,142.0,21.0,107.0,35.0,2.0,0.0,1.0,1.0,332.0,46.0,217.0,22.0,194.0,113.0,238.0,20.0,218.0,90.0,90.0,1.0,6.0,0.52,90.0,90.0,1.0,0.0
src/77_ddb/order_fs_kpts.F90,1cd4e40,6.0,6.0,4.0,78.0,13.0,47.0,18.0,1.0,0.0,1.0,1.0,120.0,17.0,49.0,18.0,30.0,56.0,47.0,17.0,30.0,6.0,6.0,4.0,4.0,1.14,6.0,6.0,4.0,0.0
src/67_common/partial_dos_fractions.F90,1cd4e40,43.0,43.0,18.0,394.0,60.0,273.0,67.0,1.0,0.0,1.0,1.0,464.0,63.0,275.0,93.0,181.0,134.0,236.0,50.0,186.0,43.0,43.0,18.0,8.0,0.49,43.0,43.0,18.0,0.0
src/41_geometry/symlatt.F90,1cd4e40,78.0,78.0,8.0,491.0,41.0,342.0,111.0,2.0,0.0,1.0,1.0,1059.0,86.0,687.0,28.0,658.0,295.0,727.0,26.0,701.0,156.0,156.0,17.0,6.0,0.43,156.0,156.0,17.0,0.0
src/67_common/initberry.F90,1cd4e40,162.0,162.0,62.0,1317.0,266.0,807.0,286.0,1.0,0.0,1.0,1.0,1409.0,269.0,809.0,110.0,698.0,375.0,734.0,57.0,677.0,162.0,162.0,62.0,8.0,0.46,162.0,162.0,62.0,0.0
src/72_response/dfptff_initberry.F90,1cd4e40,162.0,162.0,62.0,1317.0,266.0,807.0,286.0,1.0,0.0,1.0,1.0,1409.0,269.0,809.0,110.0,698.0,375.0,734.0,57.0,677.0,162.0,162.0,62.0,8.0,0.46,162.0,162.0,62.0,0.0
