File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
src/numerics/trilinos_epetra_matrix.C,6c4da39,0.0,0.0,0.0,172.0,304.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,6.0,0.0,0.0,0.0,15.0,494.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/physics/diff_qoi.C,6c4da39,1.0,8.0,1.0,13.0,27.0,16.0,1.0,1.0,1.0,1.0,9.0,1.0,8.0,1.0,0.0,3.0,55.0,13.0,26.0,16.0,6.0,16.0,0.0,1.0,7.0,12.0,5.0,0.0,7.0,2.0,2.0,2.0,1.0,1.0,0.62,4.0,4.0,4.0,3.0,1.0
src/mesh/mesh_data_unv_support.C,6c4da39,11.0,37.0,21.0,190.0,452.0,274.0,4.0,4.0,6.0,1.0,67.0,10.0,31.0,21.0,0.0,12.0,902.0,186.0,372.0,66.0,245.0,268.0,52.0,39.0,184.0,235.0,49.0,1.0,185.0,18.0,18.0,23.0,8.0,5.0,0.72,50.0,50.0,73.0,19.0,1.0
src/mesh/vtk_io.C,6c4da39,6.0,31.0,6.0,127.0,452.0,125.0,1.0,1.0,1.0,1.0,43.0,1.0,7.0,1.0,0.0,7.0,682.0,39.0,52.0,28.0,14.0,26.0,534.0,76.0,14.0,22.0,10.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0,0.5,7.0,7.0,7.0,7.0,1.0
examples/introduction/introduction_ex2/introduction_ex2.C,6c4da39,21.0,37.0,59.0,32.0,46.0,105.0,4.0,4.0,4.0,1.0,117.0,21.0,37.0,59.0,0.0,1.0,183.0,32.0,38.0,5.0,29.0,105.0,0.0,8.0,30.0,35.0,6.0,0.0,29.0,4.0,4.0,4.0,1.0,2.0,2.76,4.0,4.0,4.0,1.0,1.0
src/fe/fe_lagrange_shape_0D.C,6c4da39,0.0,9.0,0.0,28.0,63.0,16.0,1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,0.0,5.0,106.0,28.0,61.0,37.0,10.0,16.0,0.0,2.0,12.0,24.0,14.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.26,5.0,5.0,5.0,5.0,1.0
src/error_estimation/patch_recovery_error_estimator.C,6c4da39,29.0,158.0,42.0,133.0,654.0,191.0,25.0,24.0,40.0,2.0,225.0,28.0,127.0,40.0,0.0,4.0,956.0,128.0,509.0,125.0,343.0,184.0,98.0,73.0,274.0,375.0,110.0,1.0,264.0,82.0,82.0,140.0,7.0,6.0,0.36,99.0,97.0,159.0,10.0,1.0
examples/adjoints/adjoints_ex1/L-shaped.C,6c4da39,6.0,16.0,6.0,48.0,103.0,46.0,3.0,3.0,3.0,1.0,28.0,6.0,16.0,6.0,0.0,6.0,194.0,48.0,95.0,39.0,69.0,46.0,0.0,8.0,75.0,93.0,38.0,0.0,55.0,6.0,6.0,7.0,1.0,4.0,0.48,17.0,17.0,19.0,6.0,1.0
examples/adjoints/adjoints_ex2/L-shaped.C,6c4da39,6.0,16.0,6.0,48.0,103.0,46.0,3.0,3.0,3.0,1.0,28.0,6.0,16.0,6.0,0.0,6.0,194.0,48.0,95.0,39.0,69.0,46.0,0.0,8.0,75.0,93.0,38.0,0.0,55.0,6.0,6.0,7.0,1.0,4.0,0.48,17.0,17.0,19.0,6.0,1.0
examples/adjoints/adjoints_ex4/L-shaped.C,6c4da39,6.0,16.0,6.0,48.0,103.0,46.0,3.0,3.0,3.0,1.0,28.0,6.0,16.0,6.0,0.0,6.0,194.0,48.0,95.0,39.0,69.0,46.0,0.0,8.0,75.0,93.0,38.0,0.0,55.0,6.0,6.0,7.0,1.0,4.0,0.48,17.0,17.0,19.0,6.0,1.0
