File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,keyword_buggy
src/70_gw/calc_vhxc_me.F90,f4c5c2f,103.0,103.0,20.0,760.0,124.0,531.0,143.0,1.0,0.0,1.0,1.0,845.0,128.0,533.0,135.0,397.0,224.0,471.0,79.0,392.0,103.0,103.0,20.0,12.0,0.42,103.0,103.0,20.0,0.0
src/70_gw/gwls_LanczosResolvents.F90,f4c5c2f,2.0,2.0,1.0,57.0,17.0,21.0,19.0,7.0,1.0,1.0,7.0,635.0,159.0,180.0,107.0,72.0,308.0,160.0,90.0,70.0,3.0,3.0,1.0,2.0,1.71,14.0,14.0,7.0,0.0
src/62_ctqmc/m_Stat.F90,f4c5c2f,2.0,2.0,1.0,28.0,4.0,16.0,7.0,7.0,1.0,1.0,7.0,321.0,47.0,129.0,68.0,54.0,148.0,129.0,67.0,62.0,6.0,6.0,1.0,2.0,1.15,16.0,16.0,7.0,0.0
src/71_bse/setup_bse.F90,f4c5c2f,84.0,74.0,4.0,933.0,144.0,616.0,196.0,1.0,0.0,1.0,1.0,1001.0,147.0,618.0,147.0,470.0,261.0,537.0,78.0,459.0,84.0,74.0,4.0,5.0,0.42,84.0,74.0,4.0,0.0
src/77_ddb/nmsq_gam.F90,f4c5c2f,5.0,5.0,0.0,66.0,15.0,35.0,16.0,2.0,0.0,1.0,1.0,180.0,34.0,73.0,29.0,43.0,77.0,65.0,25.0,40.0,10.0,10.0,1.0,6.0,1.05,10.0,10.0,1.0,0.0
src/67_common/mklocl_recipspace.F90,f4c5c2f,3.0,3.0,1.0,53.0,10.0,28.0,15.0,11.0,0.0,1.0,9.0,563.0,94.0,268.0,72.0,195.0,207.0,255.0,66.0,189.0,28.0,28.0,7.0,0.0,0.77,36.0,36.0,15.0,0.0
src/41_geometry/symmetrize_xred.F90,f4c5c2f,15.0,15.0,1.0,109.0,17.0,59.0,34.0,1.0,0.0,1.0,1.0,164.0,20.0,61.0,20.0,40.0,86.0,59.0,17.0,42.0,15.0,15.0,1.0,4.0,1.41,15.0,15.0,1.0,0.0
src/53_ffts/fftpac.F90,f4c5c2f,8.0,8.0,0.0,38.0,4.0,27.0,6.0,3.0,0.0,1.0,1.0,170.0,16.0,84.0,19.0,64.0,72.0,77.0,15.0,62.0,25.0,25.0,1.0,5.0,0.86,25.0,25.0,1.0,0.0
src/65_paw/pawdensities.F90,f4c5c2f,76.0,76.0,1.0,364.0,26.0,301.0,46.0,1.0,0.0,1.0,1.0,437.0,29.0,303.0,53.0,249.0,116.0,266.0,30.0,236.0,76.0,76.0,1.0,9.0,0.38,76.0,76.0,1.0,0.0
src/98_main/conducti.F90,f4c5c2f,9.0,9.0,1.0,107.0,23.0,67.0,18.0,1.0,0.0,1.0,1.0,150.0,26.0,69.0,24.0,42.0,58.0,62.0,20.0,42.0,9.0,9.0,1.0,1.0,0.84,9.0,9.0,1.0,0.0
src/41_xc_lowlevel/xcspol.F90,f4c5c2f,15.0,15.0,1.0,450.0,68.0,205.0,179.0,1.0,0.0,1.0,1.0,528.0,72.0,207.0,36.0,170.0,253.0,189.0,29.0,160.0,15.0,15.0,1.0,3.0,1.22,15.0,15.0,1.0,0.0
src/65_paw/pawnhatfr.F90,f4c5c2f,61.0,61.0,4.0,306.0,32.0,233.0,45.0,1.0,0.0,1.0,1.0,365.0,35.0,235.0,54.0,180.0,101.0,212.0,29.0,183.0,61.0,61.0,4.0,11.0,0.43,61.0,61.0,4.0,0.0
src/43_ptgroups/ptg_D4h.F90,f4c5c2f,2.0,2.0,1.0,292.0,15.0,265.0,12.0,1.0,0.0,1.0,1.0,332.0,19.0,267.0,26.0,240.0,48.0,252.0,11.0,241.0,2.0,2.0,1.0,1.0,0.18,2.0,2.0,1.0,0.0
