File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
build.h,396,100,52,1,1,1,1,2,100.0,1,1,1,1,1,1,1,0,0,0
cl.hpp,12307,974,973,7824,2012,4482,777,1291,0.12,366,2,2,2,1,13,11,0,1,0
CMAPTorsionForce.cpp,101,30,11,55,36,9,41,10,0.55,9,2,2,2,1,6,6,0,0,0
CMAPTorsionForce.h,213,149,9,50,5,30,5,27,2.98,7,1,1,1,1,3,3,0,0,0
CMAPTorsionForceImpl.cpp,161,36,19,99,71,53,61,38,0.36,7,3,3,3,1,16,14,1,1,0
CMAPTorsionForceImpl.h,75,40,7,23,2,15,2,14,1.74,3,1,1,1,1,3,3,1,0,0
CMAPTorsionForceProxy.cpp,94,30,5,54,38,21,33,23,0.56,3,4,4,4,1,17,17,0,0,0
CMAPTorsionForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
CMMotionRemover.cpp,42,30,4,6,1,2,2,3,5.0,2,1,1,1,1,3,3,0,0,0
CMMotionRemover.h,81,51,7,19,4,9,3,8,2.68,3,1,1,1,1,3,3,0,0,0
CMMotionRemoverImpl.cpp,59,30,6,17,6,6,7,8,1.76,4,1,1,1,1,4,4,0,0,0
CMMotionRemoverImpl.h,68,37,7,21,3,12,3,11,1.76,3,1,1,1,1,3,3,1,0,0
CMMotionRemoverProxy.cpp,65,30,5,25,15,6,12,8,1.2,3,2,2,2,1,8,8,0,0,0
CMMotionRemoverProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
codegen.cpp,111,27,23,51,26,21,22,9,0.53,5,3,3,3,1,14,10,1,2,0
codegen.h,337,157,64,102,27,57,24,45,1.54,20,1,1,1,1,3,3,0,0,0
CompiledExpression.cpp,377,37,19,95,67,23,68,25,0.39,10,3,3,3,1,11,9,1,1,0
CompiledExpression.h,104,52,8,28,0,25,0,24,1.86,0,0,0,0,0,0,0,0,0,0
CompiledExpressionSet.cpp,56,22,6,27,16,9,22,12,0.81,4,3,3,3,1,6,6,0,0,0
CompiledExpressionSet.h,71,47,6,13,0,10,0,9,3.62,0,0,0,0,0,0,0,0,0,0
compiler.cpp,621,54,139,416,300,98,248,81,0.13,36,2,2,3,1,14,11,0,2,0
compiler.h,3145,1249,576,1282,443,826,414,691,0.97,325,1,1,1,1,3,2,0,0,0
config.h,53,41,10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
constpool.cpp,523,56,80,225,162,54,139,51,0.25,14,4,4,4,2,21,16,1,4,0
constpool.h,303,117,63,118,41,63,36,49,0.99,12,2,2,2,1,7,6,0,1,0
containers.cpp,116,24,28,60,48,13,38,12,0.4,3,6,6,6,4,25,19,1,5,0
containers.h,350,117,79,149,72,68,67,66,0.79,31,1,1,1,1,4,4,0,0,0
context.cpp,561,64,124,366,291,85,276,80,0.17,12,8,7,8,5,40,30,2,8,0
Context.cpp,257,35,38,177,103,60,91,62,0.2,26,2,2,2,1,7,7,0,0,0
Context.h,270,213,8,39,2,36,0,35,5.46,0,0,0,0,0,0,0,0,0,0
context_p.h,307,141,72,87,32,67,20,67,1.62,14,1,1,1,1,3,3,0,0,0
ContextImpl.cpp,446,46,61,322,210,100,203,100,0.14,32,3,3,3,1,11,10,1,1,0
ContextImpl.h,273,191,8,67,6,54,5,53,2.85,5,1,1,1,1,3,3,0,0,0
CpuBondForce.cpp,217,48,35,133,81,49,77,47,0.36,8,4,4,5,2,21,15,2,3,0
CpuBondForce.h,77,44,6,20,0,17,0,14,2.2,0,0,0,0,0,0,0,0,0,0
CpuCustomGBForce.cpp,585,48,62,469,328,168,341,140,0.1,17,6,6,7,2,31,27,2,2,0
CpuCustomGBForce.h,267,135,35,87,0,82,0,57,1.55,0,0,0,0,0,0,0,0,0,0
CpuCustomManyParticleForce.cpp,535,49,66,410,304,154,272,147,0.12,19,5,5,5,1,25,21,1,2,0
CpuCustomManyParticleForce.h,225,88,25,98,0,85,0,81,0.9,0,0,0,0,0,0,0,0,0,0
CpuCustomNonbondedForce.cpp,288,34,31,219,145,71,134,67,0.16,13,4,4,4,2,18,16,1,1,0
CpuCustomNonbondedForce.h,190,100,26,54,0,49,0,45,1.85,0,0,0,0,0,0,0,0,0,0
