index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
3439,kokkos_few.h,0.0,3.0,0.0,4.0,64.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,17.0,68.0,4.0,60.0,22.0,19.0,0.0,0.0,4.0,39.0,67.0,23.0,0.0,44.0,2.0,2.0,2.0,1.0,1.0,0.0,26.0,26.0,26.0,17.0,0
3440,compute_cnp_atom.cpp,6.0,33.0,5.0,55.0,219.0,57.0,7.0,7.0,8.0,3.0,44.0,6.0,33.0,5.0,0.0,6.0,331.0,55.0,202.0,34.0,150.0,57.0,0.0,17.0,153.0,198.0,32.0,0.0,166.0,27.0,27.0,30.0,13.0,7.0,0.28,44.0,44.0,49.0,18.0,4
3441,pair_tersoff_zbl_kokkos.cpp,6.0,30.0,1.0,253.0,1033.0,75.0,5.0,5.0,6.0,2.0,37.0,6.0,30.0,1.0,0.0,31.0,1361.0,253.0,1009.0,349.0,746.0,75.0,1.0,23.0,738.0,903.0,244.0,0.0,659.0,28.0,28.0,33.0,19.0,4.0,0.07,163.0,163.0,177.0,80.0,0
3442,Kokkos_ROCm_Reduce.hpp,2.0,14.0,0.0,28.0,111.0,55.0,2.0,2.0,2.0,1.0,16.0,2.0,14.0,0.0,0.0,5.0,191.0,27.0,88.0,46.0,29.0,54.0,7.0,19.0,38.0,64.0,45.0,0.0,19.0,4.0,4.0,4.0,1.0,2.0,0.61,8.0,8.0,8.0,5.0,0
3444,Kokkos_ROCm_Tile.hpp,0.0,7.0,0.0,61.0,379.0,80.0,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,0.0,26.0,520.0,60.0,298.0,153.0,91.0,78.0,37.0,49.0,117.0,198.0,144.0,0.0,54.0,4.0,4.0,4.0,1.0,1.0,0.26,30.0,30.0,32.0,26.0,0
3445,Kokkos_ROCm_Config.hpp,0.0,0.0,0.0,3.0,6.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,3.0,0.0,0.0,0.0,42.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3446,SparseLinearSystem.hpp,6.0,18.0,3.0,90.0,252.0,78.0,1.0,1.0,2.0,1.0,25.0,6.0,16.0,3.0,1.0,5.0,404.0,71.0,135.0,91.0,42.0,76.0,120.0,25.0,65.0,77.0,54.0,0.0,23.0,2.0,2.0,3.0,1.0,1.0,0.56,7.0,7.0,8.0,5.0,0
3448,ntopo_bond_partial.cpp,3.0,27.0,0.0,12.0,66.0,14.0,7.0,7.0,7.0,3.0,30.0,3.0,27.0,0.0,0.0,2.0,92.0,12.0,55.0,15.0,38.0,14.0,0.0,11.0,37.0,51.0,15.0,0.0,36.0,12.0,12.0,13.0,5.0,4.0,0.25,13.0,13.0,14.0,6.0,0
3449,ntopo_bond_partial.h,0.0,1.0,0.0,10.0,16.0,23.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,49.0,8.0,8.0,6.0,0.0,23.0,3.0,7.0,3.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.88,1.0,1.0,1.0,1.0,0
3450,setup.cpp,46.0,162.0,9.0,51.0,168.0,52.0,26.0,26.0,49.0,6.0,217.0,46.0,162.0,9.0,0.0,1.0,271.0,51.0,162.0,43.0,136.0,52.0,0.0,6.0,109.0,129.0,43.0,3.0,83.0,26.0,26.0,49.0,6.0,4.0,0.32,26.0,26.0,49.0,6.0,0
3451,Kokkos_Cuda_ViewCopyETIInst_int64_t_float_LayoutStride_Rank1.cpp,0.0,0.0,0.0,2.0,10.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,8.0,4.0,0.0,42.0,0.0,2.0,8.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,2
3452,pair_hybrid_overlay_kokkos.cpp,6.0,26.0,6.0,18.0,61.0,28.0,11.0,11.0,11.0,6.0,38.0,6.0,26.0,6.0,0.0,2.0,107.0,18.0,52.0,12.0,37.0,28.0,0.0,9.0,40.0,62.0,13.0,0.0,49.0,21.0,21.0,21.0,11.0,5.0,0.54,22.0,22.0,22.0,12.0,0
3453,fix_qeq_slater.cpp,7.0,28.0,1.0,82.0,272.0,29.0,4.0,4.0,5.0,1.0,35.0,7.0,28.0,1.0,0.0,9.0,379.0,82.0,252.0,72.0,190.0,29.0,0.0,20.0,191.0,233.0,71.0,0.0,162.0,8.0,8.0,8.0,4.0,3.0,0.12,39.0,39.0,44.0,12.0,4
3454,fix_qeq_slater.h,0.0,1.0,0.0,10.0,25.0,51.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,86.0,8.0,17.0,14.0,0.0,51.0,3.0,7.0,11.0,13.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0
