File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
src/KOKKOS/pair_eam_kokkos.cpp,9695aa6,4.0,24.0,2.0,148.0,634.0,86.0,5.0,5.0,6.0,1.0,30.0,4.0,24.0,2.0,0.0,24.0,868.0,148.0,615.0,202.0,440.0,86.0,1.0,18.0,383.0,493.0,149.0,0.0,344.0,36.0,36.0,39.0,1.0,4.0,0.14,123.0,123.0,142.0,24.0,1.0
src/KOKKOS/pair_eam_kokkos.h,9695aa6,0.0,1.0,0.0,41.0,118.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,180.0,39.0,105.0,102.0,1.0,21.0,5.0,10.0,73.0,75.0,74.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0
src/accelerator_kokkos.h,9695aa6,0.0,1.0,0.0,19.0,74.0,16.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,20.0,109.0,17.0,55.0,39.0,3.0,16.0,9.0,19.0,20.0,41.0,38.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.29,20.0,20.0,20.0,20.0,1.0
src/KOKKOS/pair_vashishta_kokkos.cpp,9695aa6,8.0,35.0,1.0,184.0,720.0,54.0,5.0,5.0,6.0,1.0,43.0,8.0,35.0,1.0,0.0,19.0,958.0,184.0,696.0,234.0,528.0,54.0,1.0,23.0,510.0,614.0,184.0,0.0,430.0,23.0,23.0,27.0,9.0,4.0,0.08,102.0,102.0,117.0,31.0,1.0
src/KOKKOS/pair_vashishta_kokkos.h,9695aa6,0.0,0.0,0.0,36.0,106.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,162.0,34.0,95.0,92.0,0.0,20.0,5.0,8.0,60.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,1.0
src/KOKKOS/pair_table_rx_kokkos.cpp,9695aa6,5.0,50.0,1.0,154.0,1101.0,50.0,8.0,8.0,10.0,1.0,56.0,5.0,50.0,1.0,0.0,21.0,1305.0,154.0,1073.0,308.0,761.0,50.0,2.0,27.0,590.0,770.0,147.0,0.0,623.0,36.0,36.0,47.0,11.0,5.0,0.05,177.0,177.0,204.0,34.0,1.0
src/KOKKOS/pair_lj_cut_kokkos.cpp,9695aa6,3.0,17.0,1.0,54.0,209.0,33.0,4.0,4.0,4.0,1.0,20.0,3.0,17.0,1.0,0.0,10.0,296.0,54.0,185.0,42.0,128.0,33.0,1.0,23.0,111.0,144.0,25.0,0.0,119.0,11.0,11.0,13.0,1.0,2.0,0.18,35.0,35.0,41.0,10.0,1.0
src/KOKKOS/pair_lj_class2_coul_long_kokkos.cpp,9695aa6,4.0,26.0,1.0,81.0,394.0,49.0,4.0,4.0,5.0,1.0,31.0,4.0,26.0,1.0,0.0,13.0,524.0,81.0,363.0,121.0,236.0,49.0,1.0,30.0,240.0,291.0,91.0,0.0,200.0,12.0,12.0,14.0,1.0,2.0,0.13,53.0,53.0,61.0,13.0,1.0
src/KOKKOS/fix_wall_lj93_kokkos.cpp,9695aa6,2.0,18.0,0.0,14.0,71.0,19.0,3.0,3.0,3.0,2.0,20.0,2.0,18.0,0.0,0.0,3.0,104.0,14.0,63.0,20.0,41.0,19.0,1.0,7.0,43.0,55.0,16.0,0.0,39.0,5.0,5.0,5.0,4.0,2.0,0.3,9.0,9.0,9.0,6.0,1.0
src/KOKKOS/fix_wall_lj93_kokkos.h,9695aa6,0.0,4.0,0.0,17.0,46.0,20.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,83.0,15.0,35.0,29.0,1.0,20.0,5.0,8.0,20.0,23.0,22.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.57,2.0,2.0,2.0,2.0,1.0
