File,index,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,fastread_bugs,keyword_bugs,human_bugs
abinit/src/45_geomoptim/isotemp.F90,533,20.0,20.0,1.0,174.0,12.0,120.0,42.0,3.0,0.0,3.0,3.0,669.0,50.0,364.0,80.0,281.0,261.0,347.0,59.0,288.0,37.0,37.0,1.0,4.0,0.72,60.0,60.0,3.0,13,13,10
abinit/src/78_effpot/m_polynomial_term.F90,534,16.0,16.0,5.0,99.0,14.0,68.0,18.0,3.0,1.0,1.0,3.0,473.0,73.0,230.0,70.0,159.0,178.0,203.0,50.0,153.0,23.0,23.0,15.0,7.0,0.77,49.0,49.0,17.0,2,1,1
abinit/src/72_response/m_strain.F90,535,6.0,5.0,1.0,54.0,8.0,34.0,12.0,7.0,1.0,1.0,7.0,625.0,86.0,262.0,72.0,189.0,280.0,240.0,69.0,171.0,13.0,13.0,1.0,4.0,1.07,43.0,41.0,7.0,22,24,17
abinit/src/72_response/d2kindstr2.F90,536,16.0,16.0,1.0,140.0,20.0,98.0,27.0,1.0,0.0,1.0,1.0,198.0,24.0,100.0,18.0,81.0,81.0,78.0,16.0,62.0,16.0,16.0,1.0,5.0,0.81,16.0,16.0,1.0,14,14,11
abinit/src/65_paw/smatrix_k_paw.F90,537,8.0,8.0,1.0,69.0,14.0,43.0,18.0,1.0,0.0,1.0,1.0,118.0,18.0,45.0,18.0,26.0,63.0,43.0,17.0,26.0,8.0,8.0,1.0,6.0,1.4,8.0,8.0,1.0,2,1,1
abinit/src/65_paw/pawmknhat.F90,538,53.0,53.0,1.0,262.0,20.0,216.0,31.0,2.0,0.0,1.0,1.0,599.0,43.0,434.0,94.0,339.0,134.0,400.0,48.0,352.0,107.0,107.0,3.0,9.0,0.31,107.0,107.0,3.0,20,21,16
abinit/src/53_ffts/fourwf.F90,539,65.0,65.0,2.0,312.0,33.0,241.0,43.0,2.0,0.0,1.0,1.0,747.0,70.0,485.0,75.0,408.0,206.0,447.0,41.0,406.0,131.0,130.0,4.0,12.0,0.42,131.0,130.0,4.0,18,18,13
abinit/src/62_iowfdenpot/rdnpw.F90,540,12.0,12.0,1.0,103.0,22.0,60.0,21.0,1.0,0.0,1.0,1.0,154.0,26.0,62.0,18.0,43.0,68.0,43.0,10.0,33.0,12.0,12.0,1.0,2.0,1.1,12.0,12.0,1.0,17,17,13
abinit/src/56_mixing/sqnormm_v.F90,541,10.0,10.0,1.0,80.0,12.0,52.0,16.0,1.0,0.0,1.0,1.0,135.0,16.0,54.0,22.0,31.0,67.0,46.0,15.0,31.0,10.0,10.0,1.0,4.0,1.24,10.0,10.0,1.0,18,18,13
abinit/src/67_common/uderiv.F90,542,25.0,25.0,3.0,225.0,43.0,156.0,31.0,2.0,0.0,1.0,1.0,544.0,89.0,315.0,82.0,232.0,152.0,251.0,46.0,205.0,50.0,50.0,6.0,7.0,0.48,50.0,50.0,6.0,21,21,15
abinit/src/66_nonlocal/opernl4a.F90,543,45.0,36.0,0.0,471.0,54.0,342.0,76.0,2.0,0.0,1.0,1.0,1031.0,112.0,687.0,43.0,643.0,238.0,1029.0,28.0,1001.0,90.0,72.0,1.0,8.0,0.35,90.0,72.0,1.0,13,13,10
abinit/src/62_iowfdenpot/randac.F90,544,10.0,10.0,1.0,84.0,13.0,50.0,23.0,1.0,0.0,1.0,1.0,137.0,17.0,52.0,14.0,37.0,72.0,50.0,13.0,37.0,10.0,10.0,1.0,2.0,1.38,10.0,10.0,1.0,17,17,13
abinit/src/56_mixing/scfcge.F90,545,34.0,34.0,3.0,390.0,49.0,227.0,115.0,2.0,0.0,1.0,1.0,889.0,102.0,456.0,43.0,412.0,334.0,423.0,35.0,388.0,68.0,68.0,6.0,6.0,0.73,68.0,68.0,6.0,17,17,12
abinit/src/72_response/m_paral_pert.F90,546,11.0,11.0,1.0,108.0,15.0,74.0,19.0,6.0,1.0,1.0,6.0,946.0,122.0,473.0,154.0,318.0,358.0,357.0,100.0,257.0,28.0,28.0,4.0,3.0,0.76,66.0,66.0,11.0,26,29,19
abinit/src/62_ctqmc/m_ImpurityOperator.F90,547,6.0,5.0,1.0,45.0,6.0,29.0,10.0,28.0,1.0,1.0,28.0,2326.0,249.0,888.0,308.0,567.0,1225.0,891.0,305.0,586.0,28.0,27.0,5.0,4.0,1.38,168.0,167.0,38.0,2,1,1
abinit/src/62_ctqmc/m_global.F90,548,1.0,1.0,1.0,29.0,3.0,12.0,13.0,3.0,1.0,1.0,3.0,237.0,23.0,52.0,21.0,4.0,165.0,27.0,20.0,7.0,1.0,1.0,1.0,0.0,3.17,3.0,3.0,3.0,2,1,1
abinit/src/32_util/m_matrix.F90,549,12.0,12.0,1.0,142.0,19.0,92.0,33.0,1.0,1.0,1.0,1.0,212.0,32.0,104.0,44.0,58.0,82.0,77.0,23.0,54.0,12.0,12.0,1.0,2.0,0.79,12.0,12.0,1.0,8,7,7
abinit/src/67_common/strhar.F90,550,3.0,3.0,2.0,45.0,7.0,27.0,11.0,3.0,0.0,1.0,1.0,186.0,25.0,85.0,26.0,55.0,79.0,84.0,24.0,60.0,10.0,10.0,6.0,6.0,0.93,10.0,10.0,6.0,21,22,17
abinit/src/64_psp/psp2lo.F90,551,5.0,5.0,1.0,113.0,15.0,75.0,23.0,1.0,0.0,1.0,1.0,173.0,19.0,77.0,18.0,58.0,79.0,61.0,16.0,45.0,5.0,5.0,1.0,3.0,1.03,5.0,5.0,1.0,14,14,9
abinit/src/41_geometry/symsgtetra.F90,552,40.0,7.0,0.0,214.0,9.0,190.0,49.0,2.0,0.0,1.0,1.0,474.0,22.0,382.0,18.0,363.0,139.0,490.0,16.0,474.0,81.0,14.0,1.0,3.0,0.36,81.0,14.0,1.0,16,16,10
abinit/src/95_drive/dtfil_init_img.F90,553,23.0,23.0,1.0,89.0,14.0,59.0,25.0,1.0,0.0,1.0,1.0,136.0,17.0,61.0,16.0,44.0,69.0,66.0,13.0,53.0,23.0,23.0,1.0,4.0,1.13,23.0,23.0,1.0,18,18,11
abinit/src/43_ptgroups/ptg_C4v.F90,554,2.0,2.0,1.0,124.0,10.0,102.0,12.0,1.0,0.0,1.0,1.0,164.0,14.0,104.0,21.0,82.0,48.0,94.0,11.0,83.0,2.0,2.0,1.0,1.0,0.46,2.0,2.0,1.0,13,13,9
abinit/src/52_fft_mpi_noabirule/m_sgfft.F90,555,41.0,40.0,1.0,385.0,40.0,282.0,70.0,14.0,1.0,1.0,14.0,6177.0,616.0,3969.0,355.0,3597.0,1704.0,3729.0,228.0,3501.0,159.0,159.0,4.0,8.0,0.43,574.0,571.0,17.0,23,24,16
