File,Cyclomatic,Modified,Strict,Essential,Lines,Code,Comment,Blank,bug
AmoebaTorsionTorsionForce.h,1,1,1,1,4,3,0,0,0
AmoebaTorsionTorsionForceImpl.cpp,3,3,3,1,17,13,1,3,0
AmoebaTorsionTorsionForceImpl.h,1,1,1,1,3,3,1,0,0
AmoebaTorsionTorsionForceProxy.cpp,4,4,4,1,26,21,2,3,0
AmoebaTorsionTorsionForceProxy.h,0,0,0,0,0,0,0,0,0
AmoebaVdwForce.cpp,1,1,1,1,5,4,0,0,0
AmoebaVdwForce.h,1,1,1,1,4,4,0,0,0
AmoebaVdwForceImpl.cpp,4,4,4,1,30,23,5,2,0
AmoebaVdwForceImpl.h,1,1,1,1,3,3,1,0,0
AmoebaVdwForceProxy.cpp,3,3,4,1,22,18,0,4,0
AmoebaVdwForceProxy.h,0,0,0,0,0,0,0,0,0
AmoebaWcaDispersionForce.cpp,1,1,1,1,3,3,0,0,0
AmoebaWcaDispersionForce.h,1,1,1,1,3,3,0,0,0
AmoebaWcaDispersionForceImpl.cpp,2,2,2,1,12,10,0,1,0
AmoebaWcaDispersionForceImpl.h,1,1,1,1,3,3,1,0,0
AmoebaWcaDispersionForceProxy.cpp,3,3,3,1,19,16,0,2,0
AmoebaWcaDispersionForceProxy.h,0,0,0,0,0,0,0,0,0
AndersenThermostat.cpp,1,1,1,1,4,4,0,0,0
AndersenThermostat.h,1,1,1,1,3,3,0,0,0
AndersenThermostatImpl.cpp,2,2,2,1,8,7,0,1,0
AndersenThermostatImpl.h,1,1,1,1,4,3,1,0,0
AndersenThermostatProxy.cpp,2,2,2,1,9,9,0,0,0
AndersenThermostatProxy.h,0,0,0,0,0,0,0,0,0
apibegin.h,0,0,0,0,0,0,0,0,0
apiend.h,0,0,0,0,0,0,0,0,0
arithmetic_ansi.h,2,2,2,1,7,7,0,1,0
arithmetic_sse_double.h,1,1,1,0,8,4,0,0,0
arithmetic_sse_float.h,2,2,2,1,6,6,0,0,0
asmjit.h,0,0,0,0,0,0,0,0,0
assembler.cpp,2,2,2,1,12,9,1,2,0
assembler.h,1,1,1,1,4,4,0,0,0
AssertionUtilities.cpp,3,3,3,1,12,12,0,0,0
AssertionUtilities.h,0,0,0,0,0,0,0,0,0
MonteCarloAnisotropicBarostat.cpp,1,1,1,1,4,4,0,0,0
MonteCarloAnisotropicBarostat.h,1,1,1,1,3,3,0,0,0
MonteCarloAnisotropicBarostatImpl.cpp,4,4,5,2,21,19,1,2,0
MonteCarloAnisotropicBarostatImpl.h,1,1,1,1,4,3,1,0,0
MonteCarloAnisotropicBarostatProxy.cpp,2,2,2,1,12,12,0,0,0
MonteCarloAnisotropicBarostatProxy.h,0,0,0,0,0,0,0,0,0
MonteCarloBarostat.cpp,1,1,1,1,4,4,0,0,0
MonteCarloBarostat.h,1,1,1,1,3,3,0,0,0
MonteCarloBarostatImpl.cpp,2,2,3,1,15,13,1,1,0
MonteCarloBarostatImpl.h,1,1,1,1,4,3,1,0,0
MonteCarloBarostatProxy.cpp,2,2,2,1,9,9,0,0,0
MonteCarloBarostatProxy.h,0,0,0,0,0,0,0,0,0
MonteCarloMembraneBarostat.cpp,1,1,1,1,4,4,0,0,0
MonteCarloMembraneBarostat.h,1,1,1,1,3,3,0,0,0
MonteCarloMembraneBarostatImpl.cpp,4,4,5,2,21,19,1,2,0
MonteCarloMembraneBarostatImpl.h,1,1,1,1,4,3,1,0,0
MonteCarloMembraneBarostatProxy.cpp,2,2,2,1,11,11,0,0,0
MonteCarloMembraneBarostatProxy.h,0,0,0,0,0,0,0,0,0
MSVC_erfc.h,0,0,0,0,0,0,0,0,0
MSVC_erfc.h,0,0,0,0,0,0,0,0,0
LangevinIntegrator.cpp,2,2,2,1,6,6,0,0,0
LangevinIntegrator.h,1,1,1,1,3,3,0,0,0
LangevinIntegratorProxy.cpp,1,1,1,1,7,7,0,0,0
LangevinIntegratorProxy.h,0,0,0,0,0,0,0,0,0
lbfgs.cpp,15,14,18,6,91,62,21,8,0
lbfgs.h,0,0,0,0,0,0,0,0,0
Lepton.h,0,0,0,0,0,0,0,0,0
