File,index,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
ne_nemesisI_int.h,3626,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
cell_hex.h,3627,0.0,2.0,0.0,39.0,38.0,92.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,6.0,167.0,39.0,34.0,29.0,5.0,92.0,0.0,4.0,19.0,26.0,21.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,2.71,6.0,6.0,6.0,6.0,13,17.0,15
exgvar.c,3628,9.0,62.0,6.0,12.0,64.0,70.0,8.0,8.0,8.0,7.0,76.0,9.0,62.0,6.0,0.0,1.0,145.0,12.0,62.0,11.0,43.0,70.0,0.0,2.0,29.0,37.0,5.0,0.0,32.0,8.0,8.0,8.0,7.0,2.0,1.13,8.0,8.0,8.0,7.0,0,0.0,0
mesh_serializer.h,3629,0.0,0.0,0.0,14.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,14.0,13.0,9.0,1.0,24.0,0.0,3.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,17,19.0,17
ex_get_processor_node_maps.c,3630,33.0,241.0,15.0,37.0,246.0,69.0,35.0,35.0,35.0,29.0,285.0,33.0,241.0,15.0,0.0,1.0,348.0,37.0,241.0,13.0,196.0,69.0,0.0,5.0,118.0,153.0,8.0,0.0,145.0,35.0,35.0,35.0,29.0,3.0,0.29,35.0,35.0,35.0,29.0,0,0.0,0
tst_converts2.c,3631,14.0,177.0,15.0,18.0,183.0,23.0,189.0,189.0,201.0,92.0,205.0,14.0,176.0,15.0,0.0,1.0,223.0,18.0,176.0,40.0,138.0,23.0,0.0,7.0,534.0,629.0,39.0,0.0,590.0,189.0,189.0,201.0,92.0,2.0,0.13,189.0,189.0,201.0,92.0,18,14.0,16
mesh_tetgen_wrapper.h,3632,0.0,0.0,0.0,45.0,47.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,5.0,0.0,0.0,0.0,15.0,219.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,17.0,16
ex_put_concat_sets.c,3633,47.0,409.0,55.0,50.0,412.0,113.0,65.0,65.0,69.0,37.0,497.0,47.0,409.0,55.0,0.0,1.0,561.0,50.0,409.0,30.0,335.0,113.0,0.0,3.0,214.0,277.0,28.0,0.0,249.0,65.0,65.0,69.0,37.0,5.0,0.28,65.0,65.0,69.0,37.0,0,0.0,0
dattget.c,3634,0.0,8.0,0.0,20.0,125.0,111.0,2.0,2.0,2.0,1.0,9.0,0.0,8.0,0.0,0.0,15.0,256.0,20.0,124.0,61.0,48.0,111.0,0.0,1.0,62.0,93.0,46.0,0.0,47.0,3.0,3.0,3.0,3.0,1.0,0.9,32.0,32.0,32.0,17.0,18,14.0,16
cell_prism.h,3635,0.0,1.0,0.0,38.0,34.0,77.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,147.0,38.0,30.0,25.0,6.0,77.0,0.0,4.0,16.0,24.0,18.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,2.57,7.0,7.0,7.0,7.0,13,17.0,15
