File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
TestCudaAmoebaAngleForce.cpp,335,51,64,170,123,66,94,64,0.3,7,3,3,4,1,37,24,1,7,0
TestCudaAmoebaBondForce.cpp,240,38,47,128,91,53,75,54,0.3,6,3,3,4,1,31,21,1,6,0
TestCudaAmoebaGeneralizedKirkwoodForce.cpp,8496,64,143,8206,8118,7898,315,140,0.01,11,3,3,3,1,765,746,2,11,0
TestCudaAmoebaInPlaneAngleForce.cpp,411,67,83,214,159,76,127,74,0.31,8,4,4,4,1,42,26,3,9,0
TestCudaAmoebaMultipoleForce.cpp,2951,145,328,2397,2181,292,2069,277,0.06,19,3,3,4,1,149,126,5,15,0
TestCudaAmoebaOutOfPlaneBendForce.cpp,542,81,98,295,223,90,203,87,0.27,8,6,6,6,1,59,37,4,10,0
TestCudaAmoebaPiTorsionForce.cpp,337,52,72,178,134,57,124,57,0.29,7,4,4,4,1,38,25,1,8,0
TestCudaAmoebaStretchBendForce.cpp,325,61,69,154,110,59,94,59,0.4,7,4,4,4,1,36,21,2,7,0
TestCudaAmoebaTorsionTorsionForce.cpp,2702,36,31,2616,2587,2540,85,39,0.01,3,7,7,8,1,882,871,1,6,0
TestCudaAmoebaVdwForce.cpp,2040,72,159,1782,1668,163,1641,165,0.04,12,5,5,6,1,163,148,3,11,0
TestCudaAndersenThermostat.cpp,219,40,22,146,116,52,107,54,0.27,4,8,8,8,1,41,36,2,4,0
TestCudaBrownianIntegrator.cpp,280,42,31,195,147,78,149,84,0.22,6,8,8,9,1,36,32,2,3,0
TestCudaCheckpoints.cpp,229,45,33,140,110,54,119,63,0.32,4,8,8,12,1,43,34,3,6,0
TestCudaCMAPTorsionForce.cpp,120,36,11,62,44,28,47,31,0.58,2,8,8,9,1,33,29,2,2,0
TestCudaCMMotionRemover.cpp,122,34,10,65,42,25,44,29,0.52,3,6,6,7,1,22,21,0,1,0
TestCudaCustomAngleForce.cpp,176,37,16,113,88,42,103,47,0.33,3,9,9,11,1,40,36,1,3,0
TestCudaCustomBondForce.cpp,181,34,11,127,95,52,125,63,0.27,4,9,9,14,1,32,31,0,1,0
TestCudaCustomCompoundBondForce.cpp,216,37,16,151,114,59,132,66,0.25,4,8,8,11,1,40,37,1,2,0
TestCudaCustomExternalForce.cpp,178,34,11,123,91,49,118,59,0.28,4,9,9,13,1,31,30,0,1,0
TestCudaCustomGBForce.cpp,482,45,27,406,328,142,333,150,0.11,7,12,11,15,1,60,57,2,2,0
TestCudaCustomHbondForce.cpp,248,37,18,181,147,62,181,75,0.2,5,9,9,13,1,38,35,1,2,0
TestCudaCustomIntegrator.cpp,781,92,62,616,504,241,584,261,0.15,14,13,13,16,1,48,44,2,3,0
TestCudaCustomNonbondedForce.cpp,743,58,57,619,488,243,554,271,0.09,15,9,9,13,1,45,41,2,2,0
TestCudaCustomTorsionForce.cpp,216,39,19,146,114,53,129,58,0.27,4,8,8,10,1,39,36,1,3,0
TestCudaDrudeForce.cpp,213,38,20,145,112,68,88,71,0.26,7,3,3,3,1,22,20,1,1,0
TestCudaDrudeLangevinIntegrator.cpp,192,45,18,123,100,56,84,59,0.37,3,6,6,6,1,46,40,4,4,0
TestCudaDrudeSCFIntegrator.cpp,144,41,9,88,71,30,69,33,0.47,2,9,9,9,1,46,43,4,2,0
TestCudaEwald.cpp,271,43,32,183,138,79,150,85,0.23,4,11,11,13,1,53,45,3,6,0
TestCudaGBSAOBCForce.cpp,246,44,23,171,139,70,146,78,0.26,4,10,10,13,1,47,42,3,3,0
TestCudaHarmonicAngleForce.cpp,143,36,11,89,65,43,83,52,0.4,3,10,10,14,1,29,28,1,1,0
TestCudaHarmonicBondForce.cpp,135,34,11,81,57,37,81,46,0.42,3,10,10,14,1,27,26,0,1,0
TestCudaLangevinIntegrator.cpp,284,43,31,199,150,78,156,84,0.22,6,8,8,10,1,38,33,2,3,0
TestCudaLocalEnergyMinimizer.cpp,215,41,26,137,109,50,97,53,0.3,4,5,5,6,1,41,34,3,5,0
TestCudaMonteCarloAnisotropicBarostat.cpp,400,79,34,276,219,102,215,104,0.29,5,11,11,12,1,65,55,6,5,0
TestCudaMonteCarloBarostat.cpp,289,43,29,205,160,82,165,90,0.21,5,9,9,12,1,46,40,2,4,0
TestCudaMultipleForces.cpp,113,34,7,58,43,28,46,31,0.59,2,8,8,9,1,27,27,0,0,0
TestCudaNonbondedForce.cpp,891,231,53,591,469,255,491,332,0.39,12,14,14,19,1,54,49,2,3,0
