function,cyclomatic,modified,strict,essential,nesting,path_count,path_c_log,bug
OpenCLGayBerneForceInfo::getParticlesInGroup,4,4,4,1,2,5,1,0
OpenCLGayBerneForceInfo::OpenCLGayBerneForceInfo,1,1,1,1,0,1,0,0
OpenCLGBSAOBCForceInfo::areParticlesIdentical,1,1,3,1,0,1,0,0
OpenCLGBSAOBCForceInfo::OpenCLGBSAOBCForceInfo,1,1,1,1,0,1,0,0
OpenCLHarmonicAngleForceInfo::areGroupsIdentical,1,1,2,1,0,1,0,0
OpenCLHarmonicAngleForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLHarmonicAngleForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLHarmonicAngleForceInfo::OpenCLHarmonicAngleForceInfo,1,1,1,1,0,1,0,0
OpenCLHarmonicBondForceInfo::areGroupsIdentical,1,1,2,1,0,1,0,0
OpenCLHarmonicBondForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLHarmonicBondForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLHarmonicBondForceInfo::OpenCLHarmonicBondForceInfo,1,1,1,1,0,1,0,0
OpenCLNonbondedForceInfo::areGroupsIdentical,1,1,3,1,0,1,0,0
OpenCLNonbondedForceInfo::areParticlesIdentical,1,1,3,1,0,1,0,0
OpenCLNonbondedForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLNonbondedForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLNonbondedForceInfo::OpenCLNonbondedForceInfo,1,1,1,1,0,1,0,0
OpenCLPeriodicTorsionForceInfo::areGroupsIdentical,1,1,3,1,0,1,0,0
OpenCLPeriodicTorsionForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLPeriodicTorsionForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLPeriodicTorsionForceInfo::OpenCLPeriodicTorsionForceInfo,1,1,1,1,0,1,0,0
