File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
contrib/netcdf/4.2.1.1/libdap2/ncdap3.h,0ebe32f,0.0,0.0,0.0,25.0,102.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,25.0,47.0,47.0,0.0,30.0,0.0,55.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.3.0/libdap2/ncdap3.h,0ebe32f,0.0,0.0,0.0,25.0,102.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,25.0,47.0,47.0,0.0,30.0,0.0,55.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.2.1.1/libdap2/ncd3dispatch.h,0ebe32f,0.0,0.0,0.0,10.0,22.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,10.0,10.0,10.0,0.0,37.0,2.0,10.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.3.0/libdap2/ncd3dispatch.h,0ebe32f,0.0,0.0,0.0,10.0,22.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,10.0,10.0,10.0,0.0,37.0,2.0,10.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.2.1.1/libdap2/dapdump.h,0ebe32f,0.0,0.0,0.0,11.0,50.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,11.0,47.0,47.0,0.0,11.0,0.0,3.0,44.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.3.0/libdap2/dapdump.h,0ebe32f,0.0,0.0,0.0,11.0,50.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,11.0,47.0,47.0,0.0,11.0,0.0,3.0,44.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.2.1.1/libdap2/nccommon.h,0ebe32f,0.0,0.0,0.0,40.0,242.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,40.0,192.0,192.0,0.0,142.0,1.0,49.0,172.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.3.0/libdap2/nccommon.h,0ebe32f,0.0,0.0,0.0,40.0,242.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,40.0,192.0,192.0,0.0,142.0,1.0,49.0,172.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.2.1.1/libdap2/dapdebug.h,0ebe32f,0.0,0.0,0.0,15.0,51.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,14.0,2.0,2.0,0.0,7.0,22.0,47.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.3.0/libdap2/dapdebug.h,0ebe32f,0.0,0.0,0.0,15.0,51.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,14.0,2.0,2.0,0.0,7.0,22.0,47.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.2.1.1/include/ncbytes.h,0ebe32f,0.0,0.0,0.0,12.0,34.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,12.0,20.0,19.0,0.0,16.0,1.0,14.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.3.0/include/ncbytes.h,0ebe32f,0.0,0.0,0.0,12.0,34.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,12.0,20.0,19.0,0.0,16.0,1.0,14.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.2.1.1/libdap2/daputil.h,0ebe32f,0.0,0.0,0.0,20.0,54.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,20.0,38.0,38.0,0.0,15.0,6.0,15.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.3.0/libdap2/daputil.h,0ebe32f,0.0,0.0,0.0,20.0,54.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,20.0,38.0,38.0,0.0,15.0,6.0,15.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,1.0
