File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
AmoebaMultipoleForceProxy.cpp,226,37,36,148,118,36,101,38,0.25,6,3,3,4,1,30,24,1,5,0
AmoebaMultipoleForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaOutOfPlaneBendForce.cpp,108,30,17,57,26,16,27,15,0.53,14,1,1,1,1,4,4,0,0,0
AmoebaOutOfPlaneBendForce.h,204,134,23,43,4,29,4,26,3.12,4,1,1,1,1,4,4,0,0,0
AmoebaOutOfPlaneBendForceImpl.cpp,67,30,9,25,8,7,12,11,1.2,6,1,1,1,1,4,4,0,0,0
AmoebaOutOfPlaneBendForceImpl.h,72,37,7,22,2,14,2,13,1.68,3,1,1,1,1,3,3,1,0,0
AmoebaOutOfPlaneBendForceProxy.cpp,86,30,7,44,30,13,26,15,0.68,3,3,3,3,1,15,14,0,1,0
AmoebaOutOfPlaneBendForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaPiTorsionForce.cpp,73,30,8,31,18,6,19,7,0.97,6,1,1,1,1,5,5,0,0,0
AmoebaPiTorsionForce.h,151,100,14,33,4,19,4,17,3.03,4,1,1,1,1,3,3,0,0,0
