hash,time,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_buggy_fixes,fastread_buggy_fixes,human_buggy_fixes
3297fbeb26e96e45aa7d19b8d6fc1abd933496fd,2016-07-29 14:34:36,1,1,1,0.0,8,6,2119.0,5,1.0355671296296296,108,91402.0,1.96565444323986,32240,0,0,0
2ac26ab8ac39470a04de1d48f4e97c233a92962b,2016-07-29 14:35:16,1,1,1,0.0,1,1,1.0,5,1.625636574074074,973,91403.0,1.6151436403118438,32241,0,0,0
f609827de85ba14b9be9b4d9e2f4a9c9cc4c265f,2016-07-29 14:35:56,1,3,4,1.9219280948873625,5,5,208.75,5,1.2197858796296297,122,91405.5,1.3587547899157295,34751,0,0,0
fc6270e590e862435d4fdbce5848cd20b9febfc7,2016-07-29 16:35:03,1,1,3,1.4644264763856565,26,6,325.0,5,80.92528935185184,3,5.0,1.007551546815657,2,0,0,0
85f58624a72a24cbb287134e160993eb91424880,2016-07-29 16:39:17,1,1,1,0.0,2,2,1173.0,5,3.0491435185185187,41,7.0,1.3279609483537422,4,0,0,0
ee86bd2463f04cd354ba85f627f7a6df64c5b958,2016-07-30 14:45:26,1,1,1,0.0,24,1,21.0,1,389.92422453703705,2,91408.0,1.0025646008559417,4502,0,0,0
4eb6664ba8a213b189c59c6ee604340c82ae10d3,2016-07-30 14:45:47,1,1,1,0.0,24,1,21.0,2,660.4734606481481,2,91409.0,1.0015140653782193,254,0,0,0
b5836fa491705d9545a94bc8bf0e0ab3c177befe,2016-07-30 14:47:01,1,3,3,1.1037297257429597,26,7,942.6666666666665,5,83.08141203703703,38,91411.0,1.0082515858485992,32244,0,0,0
58be921a093206f67a06f1ad94ee5f985340c366,2016-07-30 14:51:20,2,2,2,1.0,2,2,22.5,5,0.5072743055555555,59,91413.5,1.9875393661236171,255,0,0,0
22fe3fd178754990a543c31040f053ff24a6cbbf,2016-07-30 14:52:18,1,1,1,0.0,1,1,1.0,5,1.0118287037037037,974,91415.0,1.988309578824552,32245,0,0,0
fb13763ef91d30dee1d369f21d1255ddde8729c6,2016-07-30 14:52:58,1,3,4,1.9219280948873625,5,5,208.75,5,0.7591550925925926,127,91417.5,1.576413953026624,34756,0,0,0
f9c6ec768b49eb2ca3592a93dde9e430905b31ca,2016-07-30 15:11:41,1,1,1,0.0,1,1,185.0,5,42.665729166666665,2,91420.0,1.0234380149954467,34757,0,0,0
d3e47eef1cc1c6a50f8f061b53176fb3ed926fb2,2016-07-30 15:17:32,1,1,1,0.0,0,0,0.0,5,73.9267824074074,67,91421.0,1.0135268973900289,34758,0,0,0
5b5f839265b4b819ec0ece02f3853a10ec1043e6,2016-07-30 16:08:42,1,2,5,0.5378365547739674,235,207,221.8,5,56.18121990740741,76,91424.0,6.6350250927727155,34763,0,0,0
fd05571ee03e849e9e70d22f0c03e8adb466d07f,2016-07-30 16:09:11,1,3,10,2.8752227942481405,97,65,280.7,5,49.82577430555556,76,91431.5,1.00545823071093,34773,0,0,0
7ec3c90b86b032c6a5caffe43f739d81d489f361,2016-07-30 16:09:32,1,1,1,0.0,0,0,0.0,5,0.0005787037037037037,69,91437.0,1729.0,34774,0,0,0
26622f2826fae5f72721ddce749abe21e8ac8ebc,2016-07-30 18:40:03,1,1,1,0.0,0,0,0.0,5,0.10452546296296296,70,91438.0,10.567046838666817,34775,0,0,0
6ff87be84925d8235d9ce46d2ee059878753c6d0,2016-07-30 21:24:55,1,1,2,0.9980008838722996,9,10,822.5,5,60.20263888888889,53,91439.5,1.012457925663096,32247,0,0,0
66b4c9b8475d9147760e3948d5a243a268fd229a,2016-08-01 18:58:52,1,1,3,0.6628913777288081,91,35,541.0,5,95.2603472222222,80,9.0,1.1365232720228498,6,1,0,0
b8ae885de8a5d0935cd46e9ca3b50eff9a8e91e8,2016-08-01 18:59:37,1,1,2,0.9958699965528488,73,46,351.0,5,3.308726851851852,4,11.5,1.2266732896310963,2,0,0,0
ce5f174281847098dbc36f0eb7d285a6668bd722,2016-08-01 20:35:57,1,1,9,2.501008489392532,356,209,1053.888888888889,5,171.2641499485597,592,91445.0,1.001364816382458,32256,1,1,1
0995ab4b65c396ce21d0f0183cbc9e1c34cc5367,2016-08-01 20:55:29,1,1,1,0.0,26,7,658.0,5,62.18219907407408,39,91450.0,1.0160817728367688,32257,0,0,0
a9a8a599d0fd6d86d7337d1ae1b41399f2e85a03,2016-08-01 21:01:23,1,1,1,0.0,1,1,309.0,5,0.017662037037037042,28,91451.0,57.61861074705111,32258,0,0,0
e6c5898e537179a831f76128452fa45d90616753,2016-08-01 21:11:50,1,1,1,0.0,1,1,2134.0,5,0.024918981481481483,110,91452.0,41.13005109150023,32259,0,0,0
98aee0515239e5e2762044740eb4f13940c5d605,2016-08-01 21:30:11,1,1,6,1.3320424165745348,134,135,809.5,5,64.27571952160494,237,91455.5,7.921509763594362,32265,0,0,0
69513a29ab6a7f18ff35424a6499d885ed576afc,2016-08-01 22:40:49,1,3,25,4.522435009465868,944,328,394.56,5,56.81850277777777,115,91471.0,1.0026611129888372,34800,0,0,0
1cdd1fd4f809b5771a562123e2ac383245894f0f,2016-08-01 22:43:21,1,3,4,1.854285871987246,13,13,396.25,5,0.0017592592592592595,71,91485.5,297.0526315789474,34804,0,0,0
7326f885210638f59f7b961cb6d1e3164a3665b4,2016-08-01 22:56:43,1,1,1,0.0,1,1,1.0,5,2.336400462962963,975,91488.0,1.4280088177742551,32266,0,0,0
56502c7c09436ba51c49e0574b03ac438d469bd0,2016-08-01 22:57:27,1,3,5,2.25,8,8,253.2,5,1.8605300925925925,137,91491.0,1.207359845453479,34809,0,0,0
cc77679851d7e6bff33dcde1543debc3f2b2c001,2016-08-02 01:17:53,2,2,6,1.5602428280975833,110,9,415.83333333333326,5,46.2832600308642,102,15.5,2.4488660427418525,10,1,0,0
db734c3003cdfbbff4a69c04885b83b0db9deab3,2016-08-02 01:24:00,1,1,1,0.0,3,2,1283.0,5,0.004247685185185185,44,19.0,236.42234332425068,11,0,0,0
85cafde77c2810d459162d39caf5f0410b39a6ee,2016-08-02 06:41:30,2,2,3,1.5,4,4,679.3333333333334,5,0.22331790123456796,53,21.0,3.7224013267089466,12,0,0,0
7d08d9991eb5f27b7cb8b6364127e5a0cec0cfbd,2016-08-02 06:42:30,1,1,1,0.0,2,1,1284.0,5,0.0006944444444444446,46,23.0,1441.0,13,0,0,0
f76f2c881bd8525a3d7810e6b154812b168f6dbf,2016-08-02 07:32:44,2,2,2,0.6193821946787638,6,7,830.0,5,0.03523148148148148,52,24.5,22.14927709576397,14,0,0,0
0b0db201d1c5a7d50bcb14ddfe3ae2bb77c5700e,2016-08-02 08:09:39,1,1,4,1.4263445470433744,16,12,460.75,5,0.22087094907407406,104,27.5,12.255397008322197,18,1,1,1
3cf6715d40fb33cd0ab72bf256d30ded90e61c7f,2016-08-02 16:53:12,1,1,1,0.0,6,5,1286.0,5,0.3635763888888889,49,30.0,3.7504536338458596,19,1,1,1
eb273ab9ea3ccc5020aeb97e44fec34af40eb03a,2016-08-02 16:54:03,1,1,1,0.0,3,1,337.0,5,0.3641666666666667,22,31.0,3.7459954233409607,20,1,0,0
