File,index,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
lammps/src/MOLECULE/atom_vec_template.h,1842,0.0,1.0,0.0,11.0,51.0,52.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,114.0,9.0,43.0,40.0,0.0,52.0,3.0,7.0,37.0,39.0,39.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.21,1.0,1.0,1.0,1.0,0,0,0
lammps/src/USER-OMP/pair_meam_spline_omp.cpp,1843,14.0,55.0,4.0,65.0,232.0,30.0,6.0,6.0,6.0,1.0,72.0,14.0,54.0,4.0,0.0,4.0,324.0,65.0,216.0,97.0,176.0,30.0,2.0,16.0,180.0,204.0,93.0,0.0,111.0,15.0,15.0,15.0,1.0,4.0,0.14,23.0,23.0,24.0,4.0,0,0,0
lammps/src/compute_reduce_region.h,1844,0.0,1.0,0.0,11.0,18.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,49.0,9.0,10.0,7.0,0.0,20.0,3.0,7.0,4.0,6.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0,0,0
lammps/lib/kokkos/core/src/impl/Kokkos_Shape.cpp,1846,2.0,27.0,0.0,21.0,113.0,44.0,11.0,11.0,11.0,1.0,29.0,2.0,27.0,0.0,0.0,4.0,178.0,21.0,110.0,38.0,64.0,44.0,0.0,3.0,57.0,103.0,6.0,0.0,97.0,17.0,17.0,17.0,1.0,1.0,0.4,44.0,44.0,44.0,4.0,0,0,0
lammps/src/compute_temp.cpp,1847,2.0,13.0,0.0,25.0,90.0,18.0,3.0,3.0,3.0,1.0,15.0,2.0,13.0,0.0,0.0,6.0,133.0,25.0,81.0,28.0,57.0,18.0,0.0,9.0,61.0,82.0,27.0,0.0,55.0,7.0,7.0,7.0,1.0,3.0,0.22,20.0,20.0,20.0,6.0,0,0,0
lammps/src/USER-OMP/fix_nph_asphere_omp.cpp,1848,7.0,31.0,7.0,11.0,37.0,20.0,3.0,3.0,3.0,1.0,45.0,7.0,31.0,7.0,0.0,1.0,68.0,11.0,33.0,5.0,27.0,20.0,0.0,4.0,27.0,32.0,5.0,0.0,27.0,3.0,3.0,3.0,1.0,1.0,0.61,3.0,3.0,3.0,1.0,0,0,0
lammps/src/USER-OMP/fix_nph_asphere_omp.h,1849,0.0,1.0,0.0,10.0,15.0,23.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,48.0,8.0,7.0,5.0,0.0,23.0,3.0,7.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.29,1.0,1.0,1.0,1.0,0,0,0
lammps/src/pair_buck_coul_cut.cpp,1850,3.0,22.0,0.0,76.0,340.0,56.0,5.0,5.0,5.0,1.0,25.0,3.0,22.0,0.0,0.0,15.0,472.0,76.0,328.0,66.0,247.0,56.0,0.0,12.0,246.0,315.0,64.0,0.0,251.0,13.0,13.0,15.0,1.0,5.0,0.17,69.0,69.0,73.0,15.0,0,0,0
lammps/src/KOKKOS/pair_coul_cut_kokkos.h,1852,0.0,3.0,0.0,26.0,95.0,16.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,4.0,137.0,24.0,83.0,75.0,4.0,16.0,5.0,9.0,60.0,63.0,59.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.19,4.0,4.0,4.0,4.0,1,1,1
lammps/src/USER-CUDA/pair_lj_smooth_cuda.cpp,1854,2.0,12.0,0.0,27.0,118.0,33.0,3.0,3.0,3.0,1.0,14.0,2.0,12.0,0.0,0.0,8.0,178.0,27.0,95.0,11.0,59.0,33.0,0.0,23.0,56.0,80.0,12.0,0.0,68.0,8.0,8.0,9.0,1.0,2.0,0.35,22.0,22.0,25.0,8.0,0,0,0
lammps/src/KSPACE/pair_coul_long.cpp,1856,2.0,17.0,0.0,63.0,266.0,50.0,4.0,4.0,4.0,1.0,20.0,2.0,17.0,0.0,0.0,14.0,379.0,63.0,243.0,45.0,167.0,50.0,0.0,23.0,167.0,216.0,42.0,0.0,174.0,14.0,14.0,18.0,3.0,5.0,0.21,49.0,49.0,55.0,16.0,0,0,0
lammps/lib/gpu/lal_coul_debye_ext.cpp,1859,2.0,15.0,0.0,24.0,99.0,20.0,3.0,3.0,4.0,1.0,17.0,2.0,15.0,0.0,0.0,6.0,143.0,24.0,95.0,36.0,60.0,20.0,0.0,4.0,44.0,66.0,22.0,0.0,44.0,12.0,12.0,14.0,1.0,3.0,0.21,20.0,20.0,23.0,6.0,0,0,0
lammps/src/pair_beck.cpp,1860,3.0,21.0,0.0,58.0,260.0,45.0,4.0,4.0,4.0,1.0,23.0,3.0,21.0,0.0,0.0,12.0,363.0,58.0,249.0,50.0,179.0,45.0,0.0,11.0,196.0,242.0,49.0,0.0,193.0,9.0,9.0,11.0,1.0,4.0,0.18,45.0,45.0,48.0,12.0,0,0,0
lammps/src/USER-OMP/improper_ring_omp.cpp,1862,12.0,48.0,17.0,46.0,159.0,67.0,10.0,10.0,11.0,1.0,74.0,12.0,47.0,17.0,0.0,3.0,264.0,46.0,143.0,25.0,107.0,67.0,1.0,16.0,147.0,178.0,22.0,0.0,156.0,20.0,20.0,23.0,1.0,4.0,0.47,29.0,29.0,33.0,3.0,0,0,0
